Object Tracking Data File Wed, Feb 12, 2020 3:50 PM
X (pixels)  	Y (pixels)  
289.87	267.42
291.69	267.67
292.88	272.34
291.74	274.73
288.86	278.90
284.13	283.45
278.30	281.59
275.85	283.38
278.58	280.27
280.30	280.51
271.70	284.48
272.12	287.67
269.80	288.05
272.58	293.33
277.42	293.04
274.82	298.90
273.06	301.08
271.50	300.33
276.12	305.22
274.38	315.94
274.92	319.15
273.11	317.50
274.26	319.12
273.47	319.26
270.30	316.52
269.23	321.41
267.99	319.44
268.56	321.15
270.48	319.39
271.78	324.27
272.33	317.90
277.01	316.28
278.98	314.08
284.28	309.07
283.53	310.27
283.32	310.63
285.98	312.96
286.53	317.26
286.27	318.24
282.42	318.10
283.71	317.66
288.73	319.55
285.88	317.90
286.39	318.78
289.00	323.91
288.62	324.39
293.18	320.84
290.30	320.72
292.93	315.94
292.94	320.83
292.74	316.34
292.72	318.17
294.77	315.41
297.50	319.18
295.38	326.66
293.31	326.76
292.14	325.64
291.40	328.27
291.47	330.91
296.36	332.29
294.64	334.94
300.05	334.73
303.95	337.63
304.02	338.47
304.96	337.06
304.47	340.27
305.63	340.37
305.47	340.09
303.68	339.16
303.54	344.76
302.88	349.53
305.49	350.66
301.57	347.98
300.38	349.86
302.44	350.08
299.34	351.18
300.11	349.66
302.18	349.69
304.16	347.27
304.55	354.48
307.02	351.12
308.79	353.02
309.06	356.87
311.10	357.41
315.18	360.99
318.89	363.25
324.01	362.29
323.31	360.16
326.86	358.31
330.41	357.05
331.34	359.14
336.98	359.56
339.26	365.12
340.91	367.15
345.02	369.39
343.28	370.46
341.82	370.60
341.61	371.14
344.23	370.96
343.97	376.18
349.03	379.21
346.11	385.15
346.74	388.16
347.11	390.18
352.82	387.68
354.19	387.71
355.65	394.54
354.63	396.57
354.37	404.78
355.79	405.70
353.64	406.26
355.34	412.71
358.54	410.89
361.18	409.22
369.14	413.22
361.03	409.44
361.67	404.88
357.42	403.33
360.73	405.63
359.57	407.59
