Object Tracking Data File Wed, Feb 12, 2020 3:51 PM
X (pixels)  	Y (pixels)  
299.45	322.66
300.52	324.33
299.62	324.52
299.54	322.80
297.11	321.54
299.64	319.90
297.42	316.22
293.29	321.47
291.07	325.73
295.03	319.97
296.36	322.16
298.23	325.29
303.20	327.88
303.65	326.44
302.00	326.72
302.96	329.17
304.21	325.92
304.10	331.89
306.82	334.64
310.14	335.50
311.53	334.85
313.33	339.43
312.03	339.19
311.46	338.98
307.23	337.10
306.63	335.25
311.18	338.66
313.68	340.71
309.34	344.08
308.59	349.53
307.08	352.81
303.83	350.34
309.35	346.74
309.12	347.13
311.24	351.17
307.78	352.43
303.78	353.64
305.82	354.67
307.91	354.08
303.46	354.91
302.93	360.84
301.88	364.60
303.75	367.34
305.34	363.02
303.60	364.83
306.43	364.77
310.88	363.34
310.49	363.15
311.13	362.23
310.14	362.84
312.71	363.66
317.81	368.65
318.30	370.59
321.58	372.93
327.40	373.14
328.91	377.61
329.45	382.80
332.45	382.29
331.84	385.96
334.07	382.91
326.42	384.01
329.52	391.80
331.34	395.82
324.64	396.83
329.35	400.79
323.85	398.85
325.51	401.01
328.79	407.27
323.76	411.99
321.62	410.20
323.81	412.81
320.65	411.99
317.06	414.31
317.98	410.46
312.86	408.46
305.79	412.98
311.24	405.18
317.09	404.30
316.74	403.81
318.63	412.52
319.24	413.82
315.97	414.79
313.40	420.55
317.70	422.18
319.00	429.87
315.55	428.96
315.34	427.80
314.59	424.82
315.10	426.26
317.90	429.08
317.53	429.38
319.53	427.97
322.02	431.70
322.39	429.57
322.66	435.59
321.57	435.89
320.29	441.74
320.63	438.74
325.99	440.73
329.33	434.42
334.46	435.73
329.21	439.08
328.76	436.86
322.54	438.52
323.99	438.56
330.32	445.19
334.41	450.24
335.55	451.80
332.45	452.95
334.44	451.64
336.04	449.39
334.70	449.42
332.21	454.33
326.96	461.01
325.80	464.25
326.23	463.46
330.40	469.03
338.74	473.78
334.64	472.39
338.79	466.70
