Object Tracking Data File Wed, Feb 12, 2020 3:58 PM
X (pixels)  	Y (pixels)  
588.81	351.26
586.07	350.42
585.82	356.87
585.95	365.16
589.89	370.53
591.86	376.12
589.81	376.41
592.36	376.35
594.72	374.65
593.16	378.52
591.90	384.10
593.69	389.01
588.06	391.16
585.54	394.60
582.76	394.28
590.03	390.04
592.84	391.06
588.92	392.64
591.89	395.01
589.69	400.78
586.17	403.96
584.96	405.98
586.44	404.84
589.18	403.73
587.87	405.65
587.79	407.94
584.77	411.46
584.09	409.27
582.44	408.45
586.29	405.42
584.43	406.80
579.24	407.65
582.09	411.70
581.55	410.61
579.28	414.46
579.81	417.85
579.02	417.52
581.20	416.30
581.58	417.74
579.83	420.44
576.33	423.33
576.11	419.85
573.91	418.16
570.88	419.21
568.51	418.05
563.63	415.22
557.75	415.01
560.85	413.35
560.63	414.84
557.80	413.24
553.84	412.27
554.38	412.34
561.37	417.45
556.94	416.45
558.97	413.15
557.18	414.82
554.20	415.76
551.46	418.63
550.92	410.50
549.84	410.87
548.77	411.57
547.22	414.95
547.03	410.80
548.25	415.66
553.21	408.23
554.82	410.69
553.16	408.33
554.18	408.80
557.21	410.46
558.87	410.29
553.23	415.30
554.73	416.21
553.40	415.16
553.75	412.40
550.85	420.79
545.87	423.01
544.04	428.71
547.42	431.99
551.88	430.69
544.95	428.35
544.98	435.78
542.91	435.60
540.03	436.41
539.90	433.74
538.57	431.43
542.38	429.49
537.62	432.48
541.91	433.22
542.01	437.20
536.24	442.14
538.75	439.87
539.83	440.90
545.82	431.93
539.94	434.39
544.87	436.50
547.41	435.31
541.91	433.69
542.49	432.09
544.47	436.35
543.31	435.27
543.46	435.16
544.18	433.11
544.48	438.42
549.02	444.62
546.43	449.09
544.78	455.58
538.82	457.76
543.39	464.88
550.15	470.96
546.62	478.89
544.60	476.58
541.59	474.31
541.22	478.92
534.65	484.10
531.71	490.23
529.51	492.52
532.43	491.58
536.56	496.71
535.90	502.36
540.88	506.17
