Object Tracking Data File Wed, Feb 12, 2020 3:53 PM
X (pixels)  	Y (pixels)  
480.76	419.94
487.60	424.16
494.29	426.38
494.31	426.35
494.11	422.97
498.08	425.86
499.02	425.66
499.82	429.56
497.07	429.24
494.77	424.46
493.90	422.39
498.21	420.29
503.37	416.77
502.23	417.54
499.04	417.69
499.97	421.51
500.13	417.96
500.99	415.96
499.29	416.58
492.05	414.86
492.48	415.31
494.68	416.28
494.25	421.31
494.61	425.90
494.83	426.98
491.73	429.78
488.77	431.83
491.67	431.43
493.27	435.24
493.80	435.07
493.85	435.70
491.87	441.89
493.38	439.83
492.58	442.64
492.01	440.71
492.64	439.30
497.32	440.99
501.48	439.16
508.93	443.68
512.35	440.71
516.82	444.88
515.65	443.82
513.86	443.15
507.82	443.66
509.90	439.90
513.02	441.41
510.90	441.27
507.58	438.63
509.87	439.38
505.06	442.03
504.29	444.30
502.07	444.46
502.04	445.57
498.88	448.93
500.92	452.75
503.15	455.44
499.18	457.01
502.65	451.77
503.36	455.59
500.89	456.40
498.37	458.23
499.66	463.24
499.81	466.80
504.27	465.68
506.72	462.61
508.02	461.89
507.44	461.14
510.10	463.89
509.89	466.27
511.48	461.75
510.81	460.27
510.97	459.86
512.19	458.31
505.49	458.85
501.58	455.84
500.75	455.28
503.37	457.36
502.17	457.79
504.39	457.21
501.72	458.67
500.89	457.94
502.93	460.72
502.77	461.63
505.52	459.66
502.68	460.66
503.68	461.92
502.56	459.29
508.11	461.06
508.79	460.57
511.12	458.79
513.66	462.90
513.58	464.27
510.91	462.86
514.44	457.54
513.62	453.62
517.21	453.33
517.45	454.81
518.91	460.63
518.86	459.58
510.49	461.78
509.32	464.83
508.59	465.23
505.56	467.91
500.51	468.29
500.82	470.21
504.16	468.40
504.85	470.75
502.61	465.27
503.47	459.74
509.23	460.76
512.53	463.09
514.96	465.88
517.46	466.82
514.28	470.13
509.90	472.10
511.29	478.53
509.69	477.09
505.96	476.71
505.55	480.01
504.84	484.08
