Object Tracking Data File Wed, Feb 12, 2020 3:53 PM
X (pixels)  	Y (pixels)  
458.09	258.13
457.06	257.49
464.58	262.40
463.55	265.44
466.53	265.44
470.20	267.82
472.27	267.10
474.04	268.85
472.62	266.07
474.60	270.88
473.86	269.41
474.16	270.37
472.97	268.95
478.39	271.61
479.36	274.59
480.75	277.65
477.32	280.22
485.40	281.41
481.57	281.70
481.28	284.73
488.91	287.11
491.37	289.68
484.65	295.33
482.87	300.95
487.48	300.65
485.71	304.53
489.77	297.79
492.97	297.87
494.68	299.54
491.82	300.84
493.60	299.95
491.57	303.81
495.27	301.03
495.30	297.86
497.78	298.16
501.30	303.84
504.21	302.49
501.48	307.77
505.03	307.28
504.91	307.93
507.99	307.72
511.56	312.78
512.16	314.85
510.64	315.53
511.69	314.83
511.04	313.01
512.37	310.76
512.94	320.50
519.17	327.35
518.37	332.28
513.28	338.83
511.33	340.20
511.64	344.55
508.00	344.23
509.77	342.94
507.43	347.36
512.51	348.05
510.35	350.24
515.06	353.70
513.85	355.81
512.80	358.73
512.19	362.18
512.27	362.61
509.14	368.28
506.59	369.42
509.52	373.80
511.47	372.16
512.62	371.52
513.83	368.89
510.08	370.06
512.26	368.87
515.53	366.30
516.21	364.75
515.45	369.49
515.70	375.52
514.68	375.53
514.11	375.45
512.83	379.93
515.96	382.50
516.77	380.64
521.13	382.81
519.81	384.04
522.17	387.30
527.25	390.73
525.27	392.09
527.31	394.81
535.11	396.91
544.68	399.98
547.53	397.51
546.95	397.67
544.31	397.67
540.56	396.67
542.88	390.67
541.65	391.31
543.76	400.66
550.92	407.26
550.29	413.88
552.74	411.34
554.86	419.33
554.04	421.76
555.01	422.54
562.15	424.35
562.38	428.92
566.82	437.71
572.14	438.35
578.38	438.30
581.97	437.61
580.91	436.20
579.20	439.63
582.28	445.29
584.42	446.98
585.34	458.56
587.59	462.12
590.80	465.62
591.16	466.28
597.17	468.79
599.08	471.71
599.27	471.60
603.80	475.66
607.31	478.75
