Object Tracking Data File Wed, Feb 12, 2020 3:54 PM
X (pixels)  	Y (pixels)  
550.61	258.10
555.56	261.51
557.90	265.09
558.40	265.31
559.47	263.13
567.26	267.33
565.57	267.89
565.92	268.80
568.42	270.51
570.80	271.08
569.37	269.99
568.09	271.72
567.25	273.94
571.45	271.99
570.09	272.34
563.30	271.55
570.21	269.79
571.65	270.72
574.45	270.66
579.09	271.73
577.44	272.31
576.91	268.43
582.40	264.70
586.33	268.43
587.54	269.87
589.00	264.03
586.91	260.00
585.56	258.21
585.22	257.86
582.77	254.19
582.92	250.07
582.48	248.85
582.20	247.70
581.87	251.45
586.92	251.08
590.95	254.58
590.83	252.01
593.76	254.11
598.85	256.42
604.08	259.41
603.61	260.36
602.61	262.63
594.95	255.36
592.62	259.25
589.94	257.91
585.07	256.48
582.42	254.49
586.59	251.36
586.22	249.44
583.09	249.36
585.08	248.61
591.26	251.89
593.21	255.81
595.27	255.14
595.50	255.95
596.87	263.37
596.79	264.02
604.38	266.86
603.03	264.00
601.27	265.51
607.07	266.39
607.23	267.86
607.43	271.87
610.59	270.86
612.99	273.92
612.86	273.33
610.76	271.73
609.52	278.96
609.99	280.21
609.34	285.22
607.69	282.17
606.06	274.76
609.13	276.70
614.64	279.24
616.90	283.25
612.04	292.49
613.28	294.14
611.35	292.85
610.69	291.85
612.43	295.53
614.18	297.63
619.10	301.93
624.81	300.34
621.96	299.59
622.51	303.25
623.04	306.61
627.75	304.65
632.24	301.30
626.88	293.61
631.95	293.00
640.47	291.52
643.72	296.52
639.99	302.47
643.35	298.94
644.85	300.73
649.41	296.28
652.07	291.38
655.20	288.77
650.77	292.74
654.91	290.41
655.50	286.93
658.80	285.12
659.03	288.93
662.78	291.85
661.20	294.76
660.19	297.36
657.86	302.87
662.00	304.17
660.07	302.82
663.48	302.65
661.60	299.63
659.81	298.10
660.32	297.76
661.55	296.10
663.18	297.54
663.16	294.19
661.47	300.69
661.02	296.75
661.79	295.98
663.78	297.75
