Object Tracking Data File Wed, Feb 12, 2020 3:48 PM
X (pixels)  	Y (pixels)  
355.00	484.93
351.29	493.87
352.29	490.77
356.45	497.75
357.34	501.00
361.04	508.64
365.02	512.07
368.32	517.70
371.35	519.88
376.50	518.34
382.08	512.05
382.84	513.97
383.90	515.82
378.80	523.78
380.23	521.22
383.78	526.06
384.48	527.94
387.26	529.47
386.57	527.39
388.83	525.94
389.79	530.49
388.52	532.46
390.28	540.72
390.09	544.72
389.15	547.85
385.35	548.91
385.51	551.66
384.97	555.01
384.31	556.50
379.01	558.52
379.67	560.02
380.33	557.92
379.69	557.77
378.84	557.56
384.59	556.18
384.16	553.36
385.26	556.61
385.45	560.15
392.55	562.68
397.61	563.21
400.83	564.85
396.95	565.65
397.72	567.45
397.06	561.80
399.86	562.65
398.18	564.11
399.54	564.76
400.33	564.74
403.09	567.80
401.50	567.48
396.32	574.85
402.71	578.61
405.23	583.08
405.82	580.49
411.86	586.24
409.16	582.15
409.23	577.77
414.79	577.05
412.13	580.22
411.85	581.02
408.62	582.58
410.90	583.79
409.77	584.91
414.28	587.04
415.42	587.02
413.73	589.82
412.06	591.55
413.34	589.34
413.70	589.80
415.78	589.04
420.19	591.00
424.52	594.38
422.69	592.36
418.43	597.45
419.74	598.77
423.73	592.58
425.20	591.73
433.38	587.84
436.02	587.77
436.08	588.33
436.69	588.13
437.16	588.79
443.69	591.86
440.52	588.34
439.36	592.42
434.50	594.27
437.45	596.58
435.47	592.08
437.71	590.96
439.35	593.28
438.34	590.54
437.50	592.50
438.29	590.51
443.91	598.74
440.48	602.92
437.36	610.18
440.82	613.60
440.47	611.24
436.53	610.88
435.20	613.64
438.77	612.03
445.27	611.88
444.04	615.17
441.75	614.68
444.14	615.81
444.69	619.37
441.70	617.33
445.90	618.69
443.00	617.87
446.74	622.67
447.36	620.28
446.97	617.52
446.85	614.35
446.11	617.19
446.59	616.52
443.97	620.78
446.29	618.46
445.70	620.77
446.74	624.17
441.85	626.41
