Object Tracking Data File Wed, Feb 12, 2020 3:55 PM
X (pixels)  	Y (pixels)  
413.94	298.92
412.28	303.64
415.55	302.25
415.49	300.96
410.54	302.09
405.83	302.95
403.61	302.48
405.91	303.18
404.47	304.10
400.47	306.29
404.83	305.48
402.62	311.93
399.01	307.78
401.31	307.71
405.28	304.20
406.20	306.70
406.81	308.03
406.71	310.55
406.98	310.37
409.15	314.05
409.64	315.01
408.87	316.25
409.37	312.86
408.76	310.20
410.51	307.67
410.81	309.89
409.95	309.27
410.93	308.82
411.51	307.29
411.89	306.46
414.75	304.92
416.13	307.60
418.40	310.07
417.24	308.96
417.13	313.49
419.77	312.14
420.23	312.98
420.38	313.75
421.08	315.14
422.11	314.78
425.71	312.46
424.30	310.99
421.80	315.81
422.25	316.75
418.65	317.94
417.69	317.46
418.15	317.01
416.82	317.06
419.06	317.57
417.30	316.93
415.25	312.78
412.97	313.40
413.42	312.45
414.64	308.01
412.78	307.99
415.64	305.78
415.94	303.93
415.00	304.23
416.13	306.56
415.37	307.77
414.88	309.34
415.68	308.39
415.21	309.68
414.74	308.22
411.57	309.14
410.92	311.15
411.38	308.08
410.41	305.86
413.46	305.83
409.21	305.60
405.49	306.50
404.33	310.53
404.25	311.81
406.57	313.04
404.45	315.30
404.85	310.21
405.11	308.42
406.63	303.46
407.11	298.58
403.07	297.69
400.32	297.43
402.77	297.39
400.82	297.18
402.71	297.93
403.76	298.12
401.51	301.27
398.26	302.44
398.69	302.38
399.86	302.68
399.81	305.05
400.21	306.79
398.94	307.23
397.94	313.02
398.62	313.28
396.96	314.38
396.90	311.03
400.47	307.22
402.22	306.80
404.51	307.64
400.20	310.84
400.36	308.03
401.85	307.15
403.07	309.21
402.88	313.40
404.05	315.28
406.57	314.61
404.08	317.95
403.35	316.77
398.74	314.64
400.92	319.29
402.50	319.01
401.33	319.30
400.45	315.17
402.44	314.26
402.64	317.59
405.83	315.96
407.41	315.49
407.43	311.43
408.11	312.17
406.81	312.72
