Object Tracking Data File Wed, Feb 12, 2020 3:57 PM
X (pixels)  	Y (pixels)  
335.31	439.50
337.40	436.62
339.57	430.41
338.22	429.26
340.16	431.83
337.73	438.45
342.21	441.31
338.89	442.67
342.54	441.28
340.05	438.92
339.04	433.64
339.30	437.30
337.54	434.32
334.87	436.31
327.13	437.50
326.86	441.57
325.98	440.97
322.72	439.29
322.80	440.97
323.80	440.60
326.54	439.57
328.45	439.45
331.04	436.62
334.64	432.31
328.53	435.88
330.18	431.52
330.59	432.19
327.49	429.02
330.06	430.26
329.51	429.44
327.00	433.28
327.15	435.03
328.15	436.49
328.38	440.63
328.13	442.18
324.32	439.98
322.94	442.46
324.46	444.18
326.33	444.13
327.24	443.44
327.28	446.18
328.73	445.39
327.56	442.69
326.86	443.86
325.04	443.91
326.23	441.85
327.15	441.34
322.04	441.88
323.24	441.01
326.81	439.81
324.68	439.44
326.25	443.57
325.80	441.46
329.72	442.05
331.20	441.63
330.03	443.24
329.36	443.53
331.49	444.46
335.19	442.73
333.62	441.36
331.31	440.53
325.73	440.10
327.19	442.15
330.78	442.59
332.76	441.08
334.23	441.98
333.00	440.61
333.83	438.56
331.96	439.28
328.96	439.05
329.02	439.29
329.42	441.41
332.28	442.04
330.79	444.65
327.82	444.01
332.20	445.05
334.89	442.74
328.93	440.35
327.55	440.68
324.22	436.55
326.54	440.23
325.27	440.45
328.96	438.73
327.12	437.33
325.12	435.09
325.90	435.00
328.35	437.76
328.73	437.46
325.87	435.13
325.88	434.15
320.21	432.39
321.45	434.64
322.09	431.93
321.68	435.84
321.04	431.34
318.41	430.73
318.59	425.28
321.13	422.94
324.60	420.73
322.12	426.24
320.54	423.66
322.60	423.05
321.89	420.17
320.08	421.83
317.85	423.63
317.78	423.56
316.96	424.14
314.97	427.64
316.07	426.22
319.24	432.36
317.05	430.54
320.15	433.54
316.35	432.11
319.16	434.54
318.85	439.22
322.15	439.81
318.60	436.30
322.62	438.83
318.26	434.27
320.53	431.52
